Test Case	Category	plcsharp	plfsharp	plv8	plpython	plpgsql	pljava	plperl	pllua	pltcl	plr
sumArrayInt	Array	0.349458	0.354118	0.46588	0.349394	0.330562	0.390306	0.421921	0.477644	0.405095	0.51399
sumArrayText	Array	0.403127	0.408161	0.53971	0.409252	0.392535	0.740322	0.485494	0.55429	0.510755	0.672655
returnBool	Bool	0.231383	0.239243	0.32663	0.239485	0.234669	0.297065	0.245154	0.32415	0.266681	0.363077
booleanAnd	Bool	0.302484	0.304812	0.415985	0.305869	0.29554	0.352485	0.312909	0.381743	0.389981	0.453473
booleanOr	Bool	0.301866	0.304385	0.403632	0.308737	0.297304	0.350429	0.314462	0.380799	0.38532	0.450809
booleanXor	Bool	0.30139	0.303033	0.416294	0.312255	0.296461	0.353413	0.312179	0.384725	0.432032	0.487697
retVarChar	Char	0.288912	0.290309	0.393607	0.307174	0.294177	0.471027	0.294574	0.380476	0.340015	0.51673
retConcatVarChar	Char	0.304606	0.30376	0.415576	0.331079	0.304359	0.516001	0.307114	0.394604	0.352688	0.550014
retConcatText	Char	0.306982	0.310641	0.422002	0.334882	0.307468	0.519057	0.31248	0.397153	0.362153	0.559383
retVarCharText	Char	0.307596	0.307336	0.44589	0.328247	0.308712	0.514582	0.314092	0.395567	0.362866	0.55852
retChar	Char	0.285447	0.286213	0.391854	0.301231	0.276343	0.457968	0.293471	0.370352	0.316563	0.4146
retConcatLetters	Char	0.301492	0.300348	0.41324	0.316086	0.304192	0.507484	0.308124	0.386998	0.342871	0.532431
retConcatChars	Char	0.298521	0.298282	0.421172	0.315027	0.303852	0.491047	0.303363	0.391368	0.345591	0.535314
retConcatVarChars-1	Char	0.298936	0.299474	0.41088	0.315781	0.30269	0.487795	0.305234	0.386943	0.341372	0.530681
retConcatVarChars-2	Char	0.301186	0.300457	0.418804	0.322053	0.29909	0.48994	0.304211	0.390116	0.344031	0.532575
retNonRegularEncoding-1	Char	0.288521	0.287448	0.393719	0.301711	0.274415	0.448837	0.288707	0.370481	0.314312	0.404904
retNonRegularEncoding-2	Char	0.297964	0.298347	0.441386	0.317765	0.276656	0.47472	0.296856	0.390863	0.340112	0.414812
retNonRegularEncoding-3	Char	0.286787	0.279709	0.387529	0.30521	0.262485	0.438845	0.286825	0.361517	0.309722	0.40445
retNonRegularEncoding-4	Char	0.310885	0.321587	0.436074	0.329196	0.288066	0.477231	0.303298	0.406417	0.33333	0.437615
returnReal	Float	0.23431	0.237703	0.324162	0.258482	0.239803	0.280729	0.268763	0.31913	0.263998	0.412839
sumReal	Float	0.36331	0.361145	0.455948	0.412184	0.352993	0.397315	0.428288	0.440437	0.448332	0.584862
returnDouble	Float	0.243058	0.232432	0.327786	0.277151	0.244598	0.280965	0.285449	0.320951	0.264808	0.424892
sumDouble	Float	0.365979	0.369295	0.466136	0.417912	0.362873	0.413691	0.451315	0.459834	0.552245	0.626497
maxSmallInt	Integers	0.239489	0.240772	0.332876	0.248185	0.233317	0.289488	0.238832	0.319118	0.262139	0.4248
sum2SmallInt	Integers	0.380951	0.381266	0.48573	0.396479	0.378068	0.431106	0.399049	0.466386	0.470753	0.555807
maxInteger	Integers	0.238784	0.263189	0.333605	0.249552	0.230554	0.292008	0.240369	0.322404	0.26101	0.430245
returnInt	Integers	0.235527	0.237306	0.33365	0.249033	0.231986	0.29243	0.23982	0.32291	0.265122	0.435139
inc2ToIntToInt	Integers	0.260116	0.259553	0.358923	0.274849	0.251377	0.308883	0.27066	0.342192	0.330956	0.459891
sum2Integer	Integers	0.268221	0.269928	0.373914	0.288323	0.262067	0.316724	0.285537	0.352486	0.353487	0.450799
sum3IntegerInteger	Integers	0.279941	0.28147	0.393633	0.304175	0.275346	0.332163	0.302267	0.361664	0.37425	0.459044
sum4IntegerInteger	Integers	0.28722	0.288957	0.411226	0.309496	0.281933	0.335645	0.318921	0.373873	0.397575	0.481519
maxBigInt	Integers	0.233997	0.235833	0.332538	0.249381	0.228543	0.288098	0.243798	0.320575	0.263186	0.34337
mixedInt	Integers	0.391378	0.395048	0.5075	0.416984	0.424721	0.443647	0.419028	0.483797	0.499598	0.600193
ageTest-1	Mixed	0.316989	0.313157	0.413573	0.327381	0.301959	0.513726	0.334917	0.396639	0.392676	0.574585
ageTest-2	Mixed	0.319163	0.316396	0.428618	0.34122	0.315471	0.50228	0.327886	0.394266	0.386413	0.590571
ageTest-3	Mixed	0.314926	0.314355	0.433703	0.343477	0.314527	0.507062	0.331636	0.398181	0.382094	0.585796
returnNullBool	NullBool	0.23033	0.239829	0.320429	0.233641	0.228264	0.277893	0.222254	0.270616	0.252163	0.3304
booleanNullAnd-1	NullBool	0.278814	0.279741	0.378606	0.283059	0.276857	0.377898	0.279369	0.32267	0.324354	0.414223
booleanNullAnd-2	NullBool	0.278221	0.278403	0.379199	0.282239	0.277325	0.354988	0.275196	0.319264	0.315044	0.411459
booleanNullAnd-3	NullBool	0.285479	0.283998	0.385181	0.288042	0.280258	0.362759	0.289067	0.365806	0.331447	0.429901
booleanNullAnd-4	NullBool	0.286225	0.285176	0.383151	0.285781	0.279126	0.344962	0.28347	0.328779	0.319483	0.417203
booleanNullAnd-5	NullBool	0.265349	0.269233	0.368787	0.271351	0.2704	0.313049	0.260247	0.316189	0.304127	0.398053
booleanNullOr-1	NullBool	0.285734	0.287863	0.389586	0.289136	0.284447	0.35701	0.29075	0.361875	0.322059	0.415437
booleanNullOr-2	NullBool	0.282198	0.282052	0.389164	0.282268	0.276216	0.34665	0.286711	0.359366	0.313867	0.411949
booleanNullOr-3	NullBool	0.276667	0.276159	0.379751	0.284933	0.275936	0.343224	0.285761	0.318987	0.321556	0.411766
booleanNullOr-4	NullBool	0.279092	0.280768	0.382357	0.284271	0.279701	0.349349	0.289514	0.362439	0.324863	0.416212
booleanNullOr-5	NullBool	0.265845	0.264946	0.370618	0.268649	0.264625	0.318294	0.262215	0.304607	0.30516	0.393903
booleanNullXor-1	NullBool	0.280791	0.278538	0.412394	0.292439	0.281798	0.370836	0.289647	0.360536	0.326107	0.441631
booleanNullXor-2	NullBool	0.280417	0.27878	0.397402	0.294055	0.281533	0.348394	0.293295	0.365156	0.319032	0.448716
booleanNullXor-3	NullBool	0.282654	0.283991	0.398765	0.294225	0.284421	0.346549	0.291446	0.364345	0.327361	0.444614
booleanNullXor-4	NullBool	0.278827	0.278895	0.393965	0.289321	0.280304	0.346418	0.288802	0.361021	0.317912	0.440665
booleanNullXor-5	NullBool	0.262713	0.263912	0.400026	0.276231	0.267678	0.312419	0.269517	0.344452	0.300866	0.424699
returnNullInt	NullInteger	0.237208	0.237905	0.333146	0.23576	0.233853	0.294901	0.23404	0.284413	0.26715	0.34609
returnNullSmallInt	NullInteger	0.234002	0.236328	0.331401	0.240778	0.235864	0.292889	0.234232	0.284409	0.264926	0.347889
returnNullBigInt	NullInteger	0.238383	0.242274	0.334191	0.241681	0.236939	0.292948	0.232204	0.284158	0.265108	0.348985
sumNullArgInt-1	NullInteger	0.277645	0.27927	0.384666	0.308457	0.275537	0.348177	0.284588	0.364674	0.313711	0.444397
sumNullArgInt-2	NullInteger	0.273692	0.275957	0.376163	0.299929	0.268061	0.355738	0.313396	0.358733	0.311559	0.454551
sumNullArgInt-3	NullInteger	0.272851	0.27697	0.3813	0.308998	0.270254	0.358562	0.319908	0.356277	0.316193	0.445999
sumNullArgInt-4	NullInteger	0.266886	0.266737	0.373754	0.298083	0.262579	0.356841	0.283528	0.349891	0.364212	0.449623
sumNullArgSmallInt-1	NullInteger	0.273763	0.276325	0.392176	0.303589	0.271281	0.340525	0.281529	0.36022	0.311077	0.441988
sumNullArgSmallInt-2	NullInteger	0.335113	0.340058	0.444887	0.372356	0.331436	0.420547	0.386985	0.426977	0.378827	0.519738
sumNullArgSmallInt-3	NullInteger	0.334915	0.337342	0.44378	0.370065	0.32813	0.422079	0.388228	0.419705	0.394015	0.517541
sumNullArgSmallInt-4	NullInteger	0.382496	0.380018	0.482894	0.418197	0.373082	0.475887	0.403333	0.465102	0.482879	0.57462
sumNullArgBigInt-1	NullInteger	0.274473	0.278303	0.400712	0.304722	0.272681	0.341814	0.282787	0.363292	0.313152	0.446901
sumNullArgBigInt-2	NullInteger	0.309228	0.312508	0.417095	0.341549	0.307105	0.392319	0.355173	0.399142	0.349655	0.497042
checkedSumNullArgInt-1	NullInteger	0.271867	0.274138	0.379279	0.28106	0.274067	0.325594	0.268986	0.317907	0.310678	0.424923
checkedSumNullArgInt-2	NullInteger	0.270152	0.270739	0.382282	0.275859	0.268076	0.337676	0.271434	0.312446	0.308087	0.428985
checkedSumNullArgInt-3	NullInteger	0.270631	0.275094	0.392222	0.278564	0.273948	0.344819	0.276989	0.315424	0.318732	0.42728
checkedSumNullArgInt-4	NullInteger	0.265933	0.26648	0.368699	0.282823	0.264915	0.360278	0.286469	0.349382	0.362085	0.467486
checkedSumNullArgSmallInt-1	NullInteger	0.272127	0.274203	0.382845	0.279908	0.275076	0.327451	0.269517	0.318614	0.314605	0.441454
checkedSumNullArgSmallInt-2	NullInteger	0.332877	0.334813	0.447566	0.338652	0.332886	0.40298	0.339698	0.378381	0.37671	0.497314
checkedSumNullArgSmallInt-3	NullInteger	0.334911	0.338085	0.460166	0.340342	0.334867	0.409158	0.341408	0.382501	0.387372	0.497774
checkedSumNullArgSmallInt-4	NullInteger	0.387258	0.387885	0.488235	0.408311	0.385583	0.482002	0.408659	0.469526	0.487087	0.590201
checkedSumNullArgBigInt-1	NullInteger	0.27582	0.277293	0.381683	0.282603	0.275715	0.328039	0.270931	0.319643	0.314999	0.4242
checkedSumNullArgBigInt-2	NullInteger	0.305091	0.306988	0.421721	0.311623	0.308577	0.375304	0.30944	0.350241	0.349282	0.474976
checkedSumNullArgMixed-1	NullInteger	0.286404	0.293881	0.424754	0.294728	0.292674	0.343616	0.281268	0.334222	0.327729	0.448945
checkedSumNullArgMixed-2	NullInteger	0.344838	0.346015	0.455495	0.355218	0.348834	0.420891	0.352372	0.393311	0.396995	0.525037
checkedSumNullArgMixed-3	NullInteger	0.281557	0.285599	0.394844	0.295172	0.283258	0.35622	0.2884	0.328629	0.332841	0.458175
checkedSumNullArgMixed-4	NullInteger	0.317873	0.318662	0.429602	0.325657	0.319031	0.388514	0.320359	0.360625	0.365929	0.500275
checkedSumNullArgMixed-5	NullInteger	0.379478	0.383862	0.530064	0.406327	0.383766	0.491828	0.411631	0.463856	0.500249	0.671605
Fibonacci	Recursive	0.279396	0.277504	0.377914	0.346645	0.742726	0.319992	0.35965	0.377401	0.902093	0.755973
Factorial	Recursive	0.283833	0.269605	0.376656	0.324387	0.506797	0.323302	0.317644	0.369364	0.744829	0.624519